date_started,date_ended,id
2020-08-29,2024-12-31,1
2020-08-30,9999-12-31,2
2020-08-30,9999-12-31,3
2020-08-30,9999-12-31,5
2020-08-30,9999-12-31,6
2020-09-01,9999-12-31,7
2020-09-01,9999-12-31,8
2020-09-01,9999-12-31,9
2020-09-02,9999-12-31,11
2020-09-02,9999-12-31,12
2020-09-02,9999-12-31,13
2020-09-02,9999-12-31,14
2020-09-02,9999-12-31,15
2020-09-02,9999-12-31,16
2020-09-02,2021-05-20,17
2020-09-02,2021-05-21,18
2020-09-02,2021-05-20,19
2020-09-02,2021-05-20,20
2020-09-02,2021-05-20,21
2020-09-02,2021-05-20,22
2020-09-02,9999-12-31,23
2020-09-02,9999-12-31,24
2020-09-02,9999-12-31,25
2020-09-02,9999-12-31,26
2020-09-02,2020-12-31,27
2020-09-02,9999-12-31,28
2020-09-02,9999-12-31,29
2020-09-02,9999-12-31,30
2020-09-02,9999-12-31,31
2020-09-03,2021-12-31,32
2020-09-03,2021-12-31,33
2020-09-03,2021-12-31,34
2020-09-03,2020-12-31,35
2020-09-03,2021-05-31,36
2020-09-03,2021-05-20,37
2020-09-03,9999-12-31,38
2020-09-04,9999-12-31,39
2020-09-04,9999-12-31,40
2020-09-04,9999-12-31,41
2020-09-04,9999-12-31,42
2020-09-04,9999-12-31,43
2020-09-04,9999-12-31,44
2020-09-05,9999-12-31,45
2020-09-05,9999-12-31,46
2020-09-05,9999-12-31,47
2020-09-05,9999-12-31,48
2020-09-05,9999-12-31,49
2020-09-05,9999-12-31,50
2020-09-05,9999-12-31,51
2020-09-05,9999-12-31,52
2020-09-06,9999-12-31,53
2020-09-06,9999-12-31,54
2020-09-06,9999-12-31,55
2020-09-07,2021-09-07,56
2020-09-07,9999-12-31,57
2020-09-08,9999-12-31,58
2020-09-08,9999-12-31,59
2020-09-08,9999-12-31,60
2020-09-08,9999-12-31,61
2020-09-08,9999-12-31,62
2020-09-08,9999-12-31,63
2020-09-08,9999-12-31,64
2020-09-08,9999-12-31,65
2020-09-09,9999-12-31,66
2020-09-12,9999-12-31,68
2020-09-12,9999-12-31,69
2020-09-12,9999-12-31,70
2020-09-12,9999-12-31,71
2020-09-14,2021-05-01,72
2020-09-14,9999-12-31,73
2020-09-15,9999-12-31,74
2020-09-15,9999-12-31,75
2020-09-15,9999-12-31,78
2020-09-15,9999-12-31,79
2020-09-15,9999-12-31,80
2020-09-15,9999-12-31,81
2020-09-15,9999-12-31,82
2020-09-15,9999-12-31,83
2020-09-15,9999-12-31,84
2020-09-20,9999-12-31,85
2020-09-16,9999-12-31,86
2020-09-26,9999-12-31,87
2020-09-26,2021-03-20,93
2020-10-06,9999-12-31,126
2020-10-08,9999-12-31,127
2020-10-19,9999-12-31,128
2020-10-24,9999-12-31,129
2020-10-24,9999-12-31,130
2020-10-24,9999-12-31,131
2020-11-09,9999-12-31,132
2020-11-28,9999-12-31,133
2020-11-28,9999-12-31,134
2020-11-28,9999-12-31,136
2020-12-04,9999-12-31,137
2020-12-20,9999-12-31,138
2020-12-20,9999-12-31,140
2020-12-20,9999-12-31,141
2020-12-22,9999-12-31,142
2020-12-22,9999-12-31,143
2020-12-22,9999-12-31,144
2020-12-22,9999-12-31,145
2020-12-22,9999-12-31,146
2020-12-23,9999-12-31,147
2020-12-23,9999-12-31,148
2020-12-28,9999-12-31,151
2020-12-28,9999-12-31,152
2020-12-28,9999-12-31,153
2020-12-29,9999-12-31,154
2020-12-29,9999-12-31,155
2020-12-31,9999-12-31,156
2020-12-31,9999-12-31,157
2020-12-31,9999-12-31,158
2020-12-31,9999-12-31,159
2020-12-31,9999-12-31,160
2020-12-31,9999-12-31,161
2020-12-31,9999-12-31,162
2020-12-31,2021-08-31,163
2020-12-31,2021-08-31,164
2020-12-31,9999-12-31,165
2021-01-01,9999-12-31,166
2021-01-01,9999-12-31,167
2021-01-02,9999-12-31,170
2021-01-02,9999-12-31,172
2021-01-03,9999-12-31,173
2021-01-04,9999-12-31,174
2021-01-05,9999-12-31,175
2021-01-05,9999-12-31,178
2021-01-05,9999-12-31,179
2021-01-05,9999-12-31,180
2021-01-05,9999-12-31,181
2021-01-06,9999-12-31,182
2021-01-06,9999-12-31,183
2021-01-06,9999-12-31,184
2021-01-06,9999-12-31,185
2021-01-06,9999-12-31,186
2021-01-06,9999-12-31,187
2021-01-06,9999-12-31,188
2021-01-07,9999-12-31,189
2021-01-08,9999-12-31,190
2021-01-08,9999-12-31,191
2021-01-08,9999-12-31,192
2021-01-08,9999-12-31,193
2021-01-10,9999-12-31,195
2021-01-10,9999-12-31,196
2021-01-11,9999-12-31,197
2021-01-14,9999-12-31,198
2021-01-16,9999-12-31,199
2021-01-16,9999-12-31,200
2021-01-16,9999-12-31,201
2021-01-17,9999-12-31,202
2021-01-18,2050-01-18,203
2021-01-18,2033-01-18,204
2021-01-18,2064-01-18,205
2021-01-21,2032-01-19,207
2021-01-21,2050-01-19,208
2021-01-21,2038-01-19,209
2021-01-22,2046-01-20,210
2021-01-22,2078-01-22,211
2021-01-23,2048-01-23,212
2021-01-25,2052-01-25,213
2021-01-26,2046-01-26,214
2021-01-27,2052-01-27,215
2021-02-03,2051-02-03,216
2021-02-03,2051-02-03,217
2021-02-03,2040-02-03,218
2021-02-03,2045-02-03,219
2021-02-03,2043-02-03,220
2021-02-04,2049-02-04,221
2021-02-05,2021-11-30,222
2021-02-05,2047-02-05,223
2021-02-07,2040-02-07,224
2021-02-07,2031-02-07,225
2021-02-08,2049-02-08,226
2021-02-11,2030-12-31,227
2021-02-11,2044-02-11,228
2021-02-11,2049-02-11,229
2021-02-11,2047-02-11,230
2021-02-17,2054-02-17,231
2021-02-22,2053-02-22,232
2021-02-28,2099-12-31,233
2021-03-05,2024-08-01,234
2021-03-05,2024-05-16,235
2021-03-16,2023-06-10,236
2021-03-18,2023-03-22,237
2021-03-20,2023-05-01,238
2021-03-20,2023-05-01,239
2021-03-20,2023-05-01,240
2021-04-30,2021-05-19,241
2021-04-14,2023-11-09,242
2021-04-25,2025-04-11,243
2021-04-25,2023-08-05,244
2021-04-27,2023-12-22,245
2021-04-28,2023-07-29,246
2021-04-29,2023-03-31,247
2021-05-01,2023-04-29,248
2021-05-02,2023-10-31,249
2021-05-03,2024-02-17,250
2021-05-05,2024-10-26,251
2021-05-05,2024-02-17,252
2021-05-07,2024-01-31,253
2021-05-07,2023-06-30,254
2021-05-13,2021-09-01,255
2021-05-13,2021-09-01,256
2021-05-19,2023-10-20,257
2021-05-20,2023-11-03,258
2021-05-20,2023-02-18,259
2021-05-23,2023-10-07,260
2021-05-23,2024-01-01,261
2021-05-29,2023-09-01,262
2021-06-03,2023-08-01,263
2021-06-09,2023-11-04,264
2021-06-09,2024-01-01,265
2021-06-09,2024-01-01,266
2021-06-09,2024-01-01,267
2021-06-09,2025-01-01,268
2021-06-24,2025-03-01,269
2021-06-27,2024-01-02,270
2021-07-17,2024-03-01,271
2021-07-17,2023-01-01,272