id,name,price,is_available,is_featured,dt_created,lister_id,is_locked,is_routed,last_locked,address_num,address_street,address_apt,address_zip
1,Mini Fridge - Medium,140,TRUE,TRUE,2020-08-29 18:10:36,1,FALSE,FALSE,0,70,Morningside Drive,,10027
2,Black & Decker Blender - Small,25,TRUE,FALSE,2020-08-30 2:53:38,2,FALSE,FALSE,0,70,Morningside Drive,,10027
3,Desk Lamp,15,TRUE,FALSE,2020-08-30 22:05:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
5,Twin Air Mattress,120,FALSE,FALSE,2020-08-30 22:05:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
6,20 lb Dumbbell Pair,150,FALSE,FALSE,2020-08-30 22:05:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
7,Keurig,50,TRUE,FALSE,2020-09-01 4:41:10,2,FALSE,FALSE,0,70,Morningside Drive,,10027
8,Nikon d5600,600,TRUE,FALSE,2020-09-01 4:41:10,2,FALSE,FALSE,0,70,Morningside Drive,,10027
9,Electric Kettle/Hot Water Heater,20,TRUE,FALSE,2020-09-01 4:41:10,2,FALSE,FALSE,0,70,Morningside Drive,,10027
11,Essential Oil Diffuser,10,TRUE,TRUE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
12,French Press,8,TRUE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
13,Silicon Oven Mitts,10,TRUE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
14,Salt Lamp Light Bulb,5,TRUE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
15,JBL Charge 3,73,TRUE,TRUE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
16,Handheld Bike Pump,10,FALSE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
17,LitHum Second Sem Books,60,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
18,General/Intensive Chemistry Textbooks,40,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
19,Manual for Gen Chem Lab,15,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
20,Principles of Econ Textbook,15,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
21,Physiology Textbook,30,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
22,Mowsh Bio Textbooks,60,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
23,Queen Air Mattress,80,TRUE,FALSE,2020-09-02 20:10:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
24,"Sceptre E20 Monitor (20"")",80,TRUE,TRUE,2020-09-02 20:10:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
25,"24"" Monitor/TV - Connects with HDMI",60,FALSE,FALSE,2020-09-02 20:10:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
26,HDMI Cord (10 ft),6,TRUE,FALSE,2020-09-02 20:10:52,3,FALSE,FALSE,0,70,Morningside Drive,,10027
27,Twin Air Mattress,36.99,FALSE,FALSE,2020-09-02 20:10:52,5,FALSE,FALSE,0,70,Morningside Drive,,10027
28,Salt Lamp,20,TRUE,FALSE,2020-09-02 20:10:52,3,FALSE,FALSE,0,70,Morningside Drive,,10027
29,Swiffer,15,TRUE,FALSE,2020-09-02 20:10:52,3,FALSE,FALSE,0,70,Morningside Drive,,10027
30,Mac Book Pro T-tip Charger,70,TRUE,FALSE,2020-09-02 20:10:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
31,LED String Lights,13,TRUE,FALSE,2020-09-02 20:10:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
32,Steamer for Clothes,30,TRUE,FALSE,2020-09-03 4:01:25,5,FALSE,FALSE,0,70,Morningside Drive,,10027
33,Steel Dolly (150-lb Load),52.37,FALSE,FALSE,2020-09-03 14:51:54,1,FALSE,FALSE,0,70,Morningside Drive,,10027
34,iPad Mini 3 + Case,400,FALSE,FALSE,2020-09-03 14:51:54,1,FALSE,FALSE,0,70,Morningside Drive,,10027
35,Fall CC Book Set,150,FALSE,FALSE,2020-09-03 14:51:53,1,FALSE,FALSE,0,70,Morningside Drive,,10027
36,C++ Cookbook,40,FALSE,FALSE,2020-09-03 14:51:53,1,FALSE,FALSE,0,70,Morningside Drive,,10027
37,Full CC book set,200,TRUE,FALSE,2020-09-03 16:50:54,11,FALSE,FALSE,0,70,Morningside Drive,,10027
38,Mini Projector + HDMI Cord,65,FALSE,TRUE,2020-09-03 16:50:54,2,FALSE,FALSE,0,70,Morningside Drive,,10027
39,Strategy Game Pack,200,TRUE,FALSE,2020-09-04 21:25:01,13,FALSE,FALSE,0,70,Morningside Drive,,10027
40,Short-Medium-Long Play Pack,200,TRUE,FALSE,2020-09-04 21:25:01,13,FALSE,FALSE,0,70,Morningside Drive,,10027
41,Disaster Pack,200,TRUE,FALSE,2020-09-04 21:25:01,13,FALSE,FALSE,0,70,Morningside Drive,,10027
42,Cards Against Humanity Too Many Cards!,200,TRUE,FALSE,2020-09-04 21:25:01,13,FALSE,FALSE,0,70,Morningside Drive,,10027
43,Small Diffuser,11,TRUE,FALSE,2020-09-04 22:38:11,2,FALSE,FALSE,0,70,Morningside Drive,,10027
44,Conair Hair Dryer,8,TRUE,FALSE,2020-09-04 22:38:11,2,FALSE,FALSE,0,70,Morningside Drive,,10027
45,Minifridge,110,FALSE,TRUE,2020-09-05 1:15:38,15,FALSE,FALSE,0,70,Morningside Drive,,10027
46,Microwave,60,TRUE,FALSE,2020-09-05 1:15:38,15,FALSE,FALSE,0,70,Morningside Drive,,10027
47,Fire TV Stick,30,FALSE,TRUE,2020-09-05 1:15:38,2,FALSE,FALSE,0,70,Morningside Drive,,10027
48,15lbs Dumbells,100,FALSE,FALSE,2020-09-05 16:42:51,3,FALSE,FALSE,0,70,Morningside Drive,,10027
49,Mini Ironing Board and Black & Decker Iron,30,TRUE,FALSE,2020-09-05 16:42:51,3,FALSE,FALSE,0,70,Morningside Drive,,10027
50,15lbs Dumbbells,80,TRUE,TRUE,2020-09-05 16:42:51,3,FALSE,FALSE,0,70,Morningside Drive,,10027
51,Large Tower Fan,30,FALSE,FALSE,2020-09-05 16:42:51,2,FALSE,FALSE,0,70,Morningside Drive,,10027
52,Small Tower Fan,20,TRUE,TRUE,2020-09-05 16:42:51,2,FALSE,FALSE,0,70,Morningside Drive,,10027
53,Bike U-Lock,25,TRUE,FALSE,2020-09-06 17:02:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
54,Drill Set,60,TRUE,FALSE,2020-09-06 17:02:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
55,Tool Set,30,TRUE,FALSE,2020-09-06 17:02:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
56,Intex Comfort Plush Queen with Built-In Pump,79.99,TRUE,FALSE,2020-09-07 12:56:52,18,FALSE,FALSE,0,70,Morningside Drive,,10027
57,Calculus: Early Transcendentals (8th Edition) - James Stewart,40,TRUE,FALSE,2020-09-07 12:56:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
58,TI-84 Plus,80,FALSE,FALSE,2020-09-08 19:40:26,2,FALSE,FALSE,0,70,Morningside Drive,,10027
59,TI-84 Plus Calculator,60,TRUE,FALSE,2020-09-08 19:40:26,2,FALSE,FALSE,0,70,Morningside Drive,,10027
60,Shoe Rack,25.57,TRUE,FALSE,2020-09-08 19:40:26,4,FALSE,FALSE,0,70,Morningside Drive,,10027
61,The Divine Comedy of Dante Alighieri,6.95,TRUE,FALSE,2020-09-08 21:28:32,4,FALSE,FALSE,0,70,Morningside Drive,,10027
62,"Integrated Korean: Beginning 1, 2nd Edition",7.09,FALSE,FALSE,2020-09-08 21:28:32,4,FALSE,FALSE,0,70,Morningside Drive,,10027
63,"Integrated Korean: Beginning 2, 2nd Edition",18.79,FALSE,FALSE,2020-09-08 21:28:32,4,FALSE,FALSE,0,70,Morningside Drive,,10027
64,"Integrated Korean: Beginning 2, 2nd Edition",18.79,FALSE,FALSE,2020-09-08 21:28:32,4,FALSE,FALSE,0,70,Morningside Drive,,10027
65,"The Anxiety & Phobia Workbook, 6th Edition",25.95,FALSE,FALSE,2020-09-08 21:28:32,4,FALSE,FALSE,0,70,Morningside Drive,,10027
66,Medium Mini-fridge,115,FALSE,TRUE,2020-09-09 21:33:54,2,FALSE,FALSE,0,70,Morningside Drive,,10027
68,"Chalk Board! (36"" x 48"")",30,TRUE,FALSE,2020-09-12 15:41:18,3,FALSE,FALSE,0,70,Morningside Drive,,10027
69,Lasko Tower Fan,41,TRUE,FALSE,2020-09-12 15:41:18,3,FALSE,FALSE,0,70,Morningside Drive,,10027
70,Swivel Desk Chair,40,FALSE,TRUE,2020-09-12 15:41:18,3,FALSE,FALSE,0,70,Morningside Drive,,10027
71,Hammock Stand,70,TRUE,FALSE,2020-09-12 15:41:18,3,FALSE,FALSE,0,70,Morningside Drive,,10027
72,BISSEL Little green ProHeat Portable Deep Cleaner,120,TRUE,FALSE,2020-09-14 19:54:35,29,FALSE,FALSE,0,70,Morningside Drive,,10027
73,Smartphone Tripod,15,FALSE,FALSE,2020-09-14 19:54:35,30,FALSE,FALSE,0,70,Morningside Drive,,10027
74,GRE Vocab Flashcards,8,TRUE,FALSE,2020-09-15 5:48:48,2,FALSE,FALSE,0,70,Morningside Drive,,10027
75,Medium Mini-fridge,90,FALSE,FALSE,2020-09-15 5:48:48,2,FALSE,FALSE,0,70,Morningside Drive,,10027
78,Black & Decker Iron,15,TRUE,FALSE,2020-09-15 5:48:48,32,FALSE,FALSE,0,70,Morningside Drive,,10027
79,Floor Lamp,23,TRUE,FALSE,2020-09-15 5:48:48,2,FALSE,FALSE,0,70,Morningside Drive,,10027
80,Small Mini-Fridge,65,FALSE,TRUE,2020-09-15 5:48:48,32,FALSE,FALSE,0,70,Morningside Drive,,10027
81,LED Multi-color Fairy Lights (40ft),12.5,TRUE,TRUE,2020-09-15 5:48:48,32,FALSE,FALSE,0,70,Morningside Drive,,10027
82,Microwave - Large,50,TRUE,FALSE,2020-09-15 5:48:48,32,FALSE,FALSE,0,70,Morningside Drive,,10027
83,Door Mirror,15,TRUE,FALSE,2020-09-15 5:48:48,32,FALSE,FALSE,0,70,Morningside Drive,,10027
84,Frisbee - 175 grams,9,TRUE,FALSE,2020-09-15 5:48:48,2,FALSE,FALSE,0,70,Morningside Drive,,10027
85,"Blue Bike (26"")",90,FALSE,FALSE,2020-09-16 6:15:02,2,FALSE,FALSE,0,70,Morningside Drive,,10027
86,Standing Bike Pump,20,TRUE,FALSE,2020-09-16 6:15:02,2,FALSE,FALSE,0,70,Morningside Drive,,10027
87,Desk Chair,50,FALSE,FALSE,2020-09-26 18:40:43,2,FALSE,FALSE,0,70,Morningside Drive,,10027
93,"Black and Decker AC, fan, Heater, Dehumidifier",400,FALSE,FALSE,2020-09-27 18:13:09,11,FALSE,FALSE,0,70,Morningside Drive,,10027
126,Swivel Desk Chair,40,TRUE,FALSE,2020-10-06 4:22:48,3,FALSE,FALSE,0,70,Morningside Drive,,10027
127,Hangers 20-pack,12,TRUE,FALSE,2020-10-08 20:45:11,2,FALSE,FALSE,0,70,Morningside Drive,,10027
128,"8"" Bed Risers",7,TRUE,FALSE,2020-10-19 1:57:22,2,FALSE,FALSE,0,70,Morningside Drive,,10027
129,Yoga Mat (AmazonBasics),20,TRUE,FALSE,2020-10-24 15:57:37,2,FALSE,FALSE,0,70,Morningside Drive,,10027
130,Bike Rope Lock (Bell),15,TRUE,FALSE,2020-10-24 15:57:37,2,FALSE,FALSE,0,70,Morningside Drive,,10027
131,"Fairy Lights (wall outlet, yellow-light)",10,TRUE,FALSE,2020-10-24 15:57:37,2,FALSE,FALSE,0,70,Morningside Drive,,10027
132,3 Inch Memory Foam Mattress Topper,62.47,TRUE,FALSE,2020-11-05 14:52:39,42,FALSE,FALSE,0,70,Morningside Drive,,10027
133,"Columbia Graduation Cap and Gown (5'6"" - 5'8"")",80,TRUE,FALSE,2020-11-28 2:15:39,32,FALSE,FALSE,0,70,Morningside Drive,,10027
134,Bike U-Lock with Braided Steel Loop,30,TRUE,FALSE,2020-11-28 2:15:38,32,FALSE,FALSE,0,70,Morningside Drive,,10027
136,20 lb Dumbell Weights Set,90,TRUE,FALSE,2020-11-28 2:15:39,32,FALSE,FALSE,0,70,Morningside Drive,,10027
137,"Dell Inspiron 11 Laptop - 11.6"" Touch Screen - Intel Pentium",100,TRUE,FALSE,2020-12-04 4:25:05,32,FALSE,FALSE,0,70,Morningside Drive,,10027
138,Small Mini-Fridge,65,TRUE,TRUE,2020-12-20 10:35:21,32,FALSE,FALSE,0,70,Morningside Drive,,10027
140,Floor Lamp,23,TRUE,FALSE,2020-12-20 10:35:21,32,FALSE,FALSE,0,70,Morningside Drive,,10027
141,Lasko Tower Fan,48,TRUE,FALSE,2020-12-20 10:35:21,32,FALSE,FALSE,0,70,Morningside Drive,,10027
142,Space Heater,16,TRUE,FALSE,2020-12-22 11:23:22,32,FALSE,FALSE,0,70,Morningside Drive,,10027
143,LED Multi-color Fairy Lights (33 ft),12,TRUE,FALSE,2020-12-22 11:23:22,32,FALSE,FALSE,0,70,Morningside Drive,,10027
144,Two-Player Game Pack,100,TRUE,FALSE,2020-12-22 11:23:23,13,FALSE,FALSE,0,70,Morningside Drive,,10027
145,Hex & Co. Staff Picks Game Pack 1,90,TRUE,FALSE,2020-12-22 11:23:23,13,FALSE,FALSE,0,70,Morningside Drive,,10027
146,Hex & Co. Staff Picks Game Pack 2,90,TRUE,FALSE,2020-12-22 11:23:23,13,FALSE,FALSE,0,70,Morningside Drive,,10027
147,Small Honeywell TurboForce Fan,20,TRUE,TRUE,2020-12-23 12:09:17,32,FALSE,FALSE,0,70,Morningside Drive,,10027
148,Standing/Door Mirror,15,TRUE,FALSE,2020-12-23 12:09:17,32,FALSE,FALSE,0,70,Morningside Drive,,10027
151,Mini Cupcake Pans (Set of 2),12,TRUE,FALSE,2020-12-28 0:16:31,2,FALSE,FALSE,0,70,Morningside Drive,,10027
152,Cookware Set,45,TRUE,FALSE,2020-12-28 0:16:32,2,FALSE,FALSE,0,70,Morningside Drive,,10027
153,Plates/Bowls/Cutlery Set,20,TRUE,FALSE,2020-12-28 0:16:32,2,FALSE,FALSE,0,70,Morningside Drive,,10027
154,Black & Decker Blender,32,TRUE,FALSE,2020-12-29 0:27:22,2,FALSE,FALSE,0,70,Morningside Drive,,10027
155,Medium Side Table (w/ 2 Drawers),35,TRUE,TRUE,2020-12-29 0:27:22,2,FALSE,FALSE,0,70,Morningside Drive,,10027
