item_id,tag_name
1,all
1,fridge
1,kitchen
1,living
1,mini fridge
2,all
3,all
3,lighting
3,living
5,all
6,all
7,all
8,all
8,camera
8,outdoors
9,all
11,all
12,all
13,all
14,all
14,lighting
14,living
15,all
15,speakers
16,all
17,all
17,books
17,school
18,all
18,books
18,school
19,all
20,all
20,books
20,school
21,all
21,books
21,school
22,all
22,books
22,school
23,all
23,bedroom
23,living
24,all
25,all
25,living
25,tv
26,all
27,all
27,bedroom
27,living
28,all
28,lighting
28,living
29,all
30,all
30,books
30,school
31,all
31,bedroom
31,lighting
31,living
32,all
33,all
34,all
35,all
35,books
35,school
36,all
36,books
36,school
37,all
37,books
37,school
38,all
38,living
38,tv
39,all
40,all
41,all
42,all
43,all
44,all
45,all
45,fridge
45,kitchen
45,living
45,mini fridge
46,all
46,kitchen
47,all
47,living
47,tv
48,all
49,all
50,all
51,ac
51,all
51,cooling
51,fan
51,living
52,ac
52,all
52,cooling
52,fan
52,living
53,all
54,all
55,all
56,all
57,all
58,all
59,all
60,all
61,all
62,all
63,all
64,all
65,all
65,books
65,school
66,all
66,fridge
66,kitchen
66,living
66,mini fridge
68,all
69,ac
69,all
69,cooling
69,fan
69,living
70,all
71,all
72,all
73,all
74,all
75,all
75,fridge
75,kitchen
75,living
75,mini fridge
78,all
79,all
79,lighting
79,living
80,all
80,fridge
80,kitchen
80,living
80,mini fridge
81,all
81,bedroom
81,lighting
81,living
82,all
82,kitchen
83,all
83,bedroom
83,living
84,all
85,all
86,all
87,all
93,ac
93,all
93,cooling
93,fan
93,living
126,all
127,all
128,all
129,all
129,fitness
130,all
131,all
132,all
132,bedroom
132,living
133,all
134,all
136,all
136,fitness
137,all
137,living
137,tv
138,all
138,fridge
138,kitchen
138,living
138,mini fridge
138,school
140,all
140,lighting
140,living
141,ac
141,all
141,cooling
141,fan
141,living
142,all
143,all
143,bedroom
143,lighting
143,living
144,all
145,all
146,all
147,ac
147,all
147,cooling
147,fan
147,living
148,all
148,bedroom
148,living
151,all
152,all
152,kitchen
153,all
154,all
155,all
156,all
157,ac
157,all
157,cooling
157,fan
157,living
158,all
159,all
160,all
161,all
162,all
163,all
164,all
164,bedroom
164,living
165,all
166,all
166,fridge
166,kitchen
166,living
166,mini fridge
167,all
170,all
170,fridge
170,kitchen
170,living
170,mini fridge
172,all
172,fitness
173,all
173,kitchen
174,all
174,kitchen
175,all
175,tv
178,all
179,all
180,all
180,lighting
180,living
181,all
181,fridge
181,kitchen
181,living
181,mini fridge
182,all
182,fridge
182,kitchen
182,living
182,mini fridge
183,all
184,all
185,all
185,kitchen
186,all
186,kitchen
187,all
187,kitchen
188,all
189,all
189,fitness
190,all
190,kitchen
191,all
191,kitchen
192,all
192,kitchen
193,all
193,kitchen
195,all
196,all
197,all
197,kitchen
198,all
198,kitchen
199,all
200,all
201,all
201,living
202,all
203,all
203,fridge
203,kitchen
203,living
203,mini fridge
204,all
204,bedroom
204,living
205,all
205,fitness
207,all
208,all
208,kitchen
209,all
210,all
210,living
210,tv
211,all
211,bedroom
211,living
212,all
212,kitchen
213,all
213,fridge
213,kitchen
213,living
213,mini fridge
214,all
214,lighting
214,living
215,all
215,lighting
215,living
216,all
216,fitness
217,all
217,lighting
217,living
218,all
218,school
219,all
219,school
220,all
221,all
221,kitchen
222,all
222,school
223,all
223,school
224,all
225,all
226,all
226,fitness
227,all
228,all
228,fitness
229,all
229,fitness
230,all
230,kitchen
231,all
231,kitchen
232,all
232,kitchen
233,all
233,fridge
233,kitchen
233,living
233,mini fridge
234,all
235,all
236,all
236,school
237,ac
237,all
237,cooling
237,fan
237,living
238,all
238,bedroom
238,living
239,all
239,books
239,school
240,all
240,bedroom
240,living
241,all
241,fridge
241,kitchen
241,living
241,mini fridge
242,all
242,living
242,tv
243,all
243,fridge
243,kitchen
243,living
243,mini fridge
244,all
244,living
244,tv
245,all
245,living
245,tv
246,all
246,fridge
246,kitchen
246,living
246,mini fridge
247,all
247,fridge
247,kitchen
247,living
247,mini fridge
248,all
248,fridge
248,kitchen
248,living
248,mini fridge
249,all
249,fridge
249,kitchen
249,living
249,mini fridge
250,all
250,fridge
250,kitchen
250,living
250,mini fridge
251,all
251,lighting
251,living
252,ac
252,all
252,cooling
252,fan
252,living
253,all
253,kitchen
254,all
254,kitchen
255,all
255,kitchen
256,all
257,ac
257,all
257,cooling
257,fan
257,living
258,ac
258,all
258,cooling
258,fan
258,living
259,ac
259,all
259,cooling
259,fan
259,living
260,all
260,kitchen
261,all
261,kitchen
262,all
263,ac
263,all
263,bedroom
263,living
264,all
265,all
266,all
267,all
268,all
269,all
269,living
269,tv
270,all
270,living
270,school
270,tv
271,all
272,all
271,kitchen
272,bedroom